1	10
1	14
1	19
1	24
1	34
1	46
1	49
1	53
1	66
1	76
1	77
1	83
1	97
1	105
1	106
1	127
2	10
2	27
2	36
2	41
2	77
2	84
2	92
2	100
2	103
2	110
2	113
2	118
2	119
2	126
2	127
2	128
3	4
3	18
3	25
3	28
3	42
3	46
3	48
3	50
3	64
3	74
3	87
3	115
3	116
3	117
3	118
3	123
4	3
4	5
4	10
4	17
4	20
4	27
4	43
4	69
4	78
4	80
4	81
4	90
4	95
4	96
4	97
4	105
5	4
5	6
5	41
5	44
5	49
5	57
5	63
5	64
5	77
5	88
5	92
5	96
5	101
5	103
5	119
5	124
6	5
6	8
6	9
6	16
6	19
6	22
6	26
6	46
6	50
6	57
6	59
6	72
6	76
6	99
6	110
6	120
7	11
7	19
7	20
7	29
7	31
7	33
7	37
7	42
7	43
7	71
7	73
7	78
7	104
7	113
7	117
7	118
8	6
8	19
8	25
8	27
8	28
8	47
8	51
8	53
8	56
8	62
8	81
8	82
8	89
8	101
8	111
8	127
9	6
9	17
9	27
9	38
9	42
9	51
9	54
9	65
9	72
9	78
9	97
9	101
9	106
9	107
9	113
9	117
10	1
10	2
10	4
10	14
10	21
10	37
10	49
10	54
10	59
10	70
10	92
10	94
10	96
10	99
10	105
10	128
11	7
11	13
11	16
11	23
11	31
11	35
11	45
11	62
11	63
11	67
11	78
11	106
11	107
11	109
11	110
11	121
12	16
12	20
12	22
12	23
12	26
12	29
12	32
12	38
12	44
12	46
12	53
12	62
12	63
12	69
12	103
12	112
13	11
13	14
13	16
13	24
13	55
13	56
13	69
13	83
13	91
13	92
13	94
13	97
13	102
13	103
13	104
13	118
14	1
14	10
14	13
14	17
14	18
14	34
14	42
14	54
14	56
14	76
14	82
14	90
14	92
14	105
14	112
14	117
15	22
15	36
15	43
15	47
15	51
15	52
15	86
15	88
15	89
15	93
15	108
15	116
15	120
15	121
15	124
15	125
16	6
16	11
16	12
16	13
16	19
16	28
16	47
16	50
16	51
16	60
16	69
16	82
16	91
16	96
16	105
16	112
17	4
17	9
17	14
17	24
17	27
17	35
17	36
17	39
17	41
17	45
17	52
17	56
17	91
17	98
17	104
17	116
18	3
18	14
18	23
18	24
18	29
18	37
18	42
18	47
18	51
18	65
18	66
18	75
18	80
18	91
18	104
18	122
19	1
19	6
19	7
19	8
19	16
19	32
19	74
19	79
19	84
19	88
19	100
19	108
19	115
19	119
19	120
19	126
20	4
20	7
20	12
20	30
20	45
20	58
20	63
20	79
20	82
20	86
20	97
20	102
20	112
20	114
20	121
20	128
21	10
21	32
21	33
21	35
21	45
21	53
21	58
21	61
21	62
21	67
21	73
21	84
21	97
21	101
21	107
21	124
22	6
22	12
22	15
22	32
22	40
22	42
22	44
22	45
22	57
22	64
22	77
22	80
22	95
22	98
22	100
22	116
23	11
23	12
23	18
23	24
23	25
23	39
23	51
23	67
23	69
23	85
23	105
23	110
23	113
23	117
23	118
23	127
24	1
24	13
24	17
24	18
24	23
24	41
24	47
24	57
24	62
24	65
24	67
24	111
24	112
24	113
24	125
24	128
25	3
25	8
25	23
25	28
25	32
25	41
25	44
25	46
25	51
25	53
25	64
25	74
25	79
25	99
25	109
25	125
26	6
26	12
26	28
26	34
26	38
26	48
26	65
26	68
26	80
26	96
26	98
26	101
26	112
26	118
26	120
26	125
27	2
27	4
27	8
27	9
27	17
27	43
27	47
27	49
27	60
27	67
27	68
27	75
27	89
27	102
27	112
27	125
28	3
28	8
28	16
28	25
28	26
28	48
28	60
28	65
28	71
28	77
28	89
28	90
28	107
28	112
28	124
28	126
29	7
29	12
29	18
29	36
29	46
29	47
29	48
29	50
29	56
29	69
29	76
29	83
29	92
29	100
29	102
29	128
30	20
30	33
30	50
30	63
30	67
30	71
30	72
30	75
30	77
30	80
30	101
30	106
30	107
30	113
30	117
30	124
31	7
31	11
31	33
31	40
31	43
31	53
31	55
31	56
31	59
31	64
31	66
31	69
31	72
31	73
31	114
31	128
32	12
32	19
32	21
32	22
32	25
32	39
32	53
32	61
32	62
32	73
32	103
32	108
32	110
32	114
32	116
32	117
33	7
33	21
33	30
33	31
33	58
33	66
33	81
33	88
33	93
33	99
33	107
33	109
33	115
33	118
33	124
33	126
34	1
34	14
34	26
34	37
34	45
34	46
34	48
34	59
34	66
34	68
34	84
34	94
34	99
34	120
34	122
34	123
35	11
35	17
35	21
35	48
35	50
35	58
35	59
35	68
35	75
35	76
35	88
35	89
35	97
35	103
35	111
35	120
36	2
36	15
36	17
36	29
36	44
36	61
36	78
36	80
36	84
36	95
36	103
36	104
36	106
36	107
36	111
36	127
37	7
37	10
37	18
37	34
37	40
37	54
37	64
37	71
37	91
37	96
37	102
37	107
37	108
37	111
37	114
37	116
